Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","TBO Tek Ltd","TBOTEK","P&F | F.A","10.85","1659.00","2417566"
"2","Sanginita Chemicals Ltd","SANGINITA","P&F | F.A","6.51","10.80","696677"
"3","Oricon Enterprises Limited","ORICONENT","P&F | F.A","6.19","57.99","267241"
"4","Shreeoswal Seeds & Chemicals Ltd","OSWALSEEDS","P&F | F.A","4.97","15.84","56849"
"5","The Grob Tea Company Limited","GROBTEA","P&F | F.A","4.26","1129.30","934"
"6","Elin Electronics Ltd","ELIN","P&F | F.A","3.09","214.56","100180"
"7","Gulf Oil Lubricants India Limited","GULFOILLUB","P&F | F.A","2.21","1283.10","43375"
"8","XT Global Infotech Ltd","XTGLOBAL","P&F | F.A","2.04","40.60","21911"
"9","Hercules Hoists Limited","HERCULES","P&F | F.A","1.78","181.36","4421"
"10","Craftsman Automation Ltd","CRAFTSMAN","P&F | F.A","1.47","6893.50","45987"
"11","HMA Agro Industries Ltd","HMAAGRO","P&F | F.A","1.46","32.00","133478"
"12","Nelco Limited","NELCO","P&F | F.A","1.26","881.05","37389"
"13","Automotive Stampings And Assemblies Limited","ASAL","P&F | F.A","1.21","543.40","17760"
"14","A B Infrabuild Ltd","ABINFRA","P&F | F.A","0.92","19.79","18156"
"15","Panacea Biotec Limited","PANACEABIO","P&F | F.A","0.76","435.15","17499"
"16","Shree Vasu Logistics Ltd","SVLL","P&F | F.A","0.65","780.20","3"
"17","Axis AAA Bond Plus SDL ETF-2026 Matur. Reg. Growth","AXISBPSETF","P&F | F.A","0.31","13.02","5273"
"18","Cyient DLM Ltd","CYIENTDLM","P&F | F.A","0.12","460.00","32623"
"19","ICICI Prudential Nifty India Consumption ETF","CONSUMIETF","P&F | F.A","0.00","128.15","3835"
"20","Nippon India ETF Nifty India Consumption","CONSUMBEES","P&F | F.A","-0.22","137.65","26743"
"21","Fiem Industries Limited","FIEMIND","P&F | F.A","-0.43","2106.00","20884"
