"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Bajaj Finance","1,057.00","13.90","1.33%","62,02,540.00","36.80","6,49,067.10","-1.47%","69,724.80","21.97","1,055.30","999.20","1,040.00","1,043.10"
"HDFC Life Insurance","742.45","6.45","0.88%","23,11,438.00","83.80","1,58,640.90","-0.61%","97,385.10","24.81","745.58","761.22","736.00","736.00"
"Swiggy","413.35","10.90","2.71%","94,77,215.00","-24.08","1,00,356.80","-2.07%","15,622.90","12.24","426.30","428.37","405.00","402.45"
"Dr Reddys Laboratories","1,200.00","4.00","0.33%","10,15,516.00","17.40","99,819.80","-6.93%","33,741.20","35.52","1,248.79","1,266.12","1,198.00","1,196.00"
"HDB Financial Services","731.55","8.20","1.13%","9,91,537.00","27.60","60,006.70","-0.15%","16,300.30","3.17","735.91","759.92","723.60","723.35"
"Nippon Life India AMC","881.55","11.15","1.28%","10,21,061.00","41.51","55,413.70","-2.59%","2,520.70","7.64","894.44","858.09","875.90","870.40"
"Hexaware Technologies","695.00","2.50","0.36%","3,45,147.00","31.80","42,161.70","-2.83%","12,049.30","8.31","713.83","727.99","693.00","692.50"
"NLC India","262.10","2.55","0.98%","14,93,912.00","13.18","35,990.20","0.77%","16,889.40","3.24","265.50","259.16","260.00","259.55"
"Aster DM Healthcare","688.65","10.20","1.50%","4,04,418.00","100.68","35,151.90","-1.66%","4,286.70","18.72","696.98","655.32","682.05","678.45"
"Ramco Cements","1,027.00","1.50","0.15%","1,52,251.00","76.25","24,231.80","-3.03%","8,559.60","8.15","1,030.07","1,036.55","1,025.50","1,025.50"
"Emami","537.60","3.90","0.73%","3,17,900.00","28.54","23,296.00","-2.36%","3,877.30","10.93","542.22","566.62","534.85","533.70"
"Tata Chemicals","892.35","17.00","1.94%","6,43,129.00","55.75","22,300.10","-1.27%","15,112.00","13.74","904.01","930.61","876.95","875.35"
"Aditya Birla Sun Life AMC","780.20","12.35","1.61%","1,78,492.00","22.83","22,164.70","-3.67%","1,985.80","6.18","823.68","826.57","769.00","767.85"
"Sundram Fasteners","964.70","12.95","1.36%","63,518.00","36.23","20,077.80","-1.26%","5,983.70","10.55","978.85","1,001.29","964.30","955.50"
"Jyoti CNC Automation","940.20","63.50","7.24%","42,44,037.00","59.33","19,938.20","7.21%","1,832.20","9.92","910.98","910.26","878.90","876.70"
"Bikaji Foods International","730.65","4.10","0.56%","96,488.00","93.33","18,206.80","-0.08%","2,654.80","6.34","732.40","756.62","725.00","726.55"
"Travel Food Services","1,316.30","1.50","0.11%","1,18,504.00","45.69","17,313.20","-0.86%","1,762.70","2.77","1,341.92","1,311.43","1,310.00","1,314.80"
"Century Plyboards","757.95","3.30","0.44%","41,678.00","81.89","16,766.30","1.14%","4,538.10","4.27","758.66","777.83","750.40","754.65"
"Vedant Fashions","644.90","2.30","0.36%","1,30,934.00","38.78","15,612.40","-4.49%","1,437.20","9.76","678.91","708.05","643.00","642.60"
"Gallantt Ispat","559.30","1.30","0.23%","7,24,114.00","29.72","13,463.50","4.56%","4,308.30","0.19","594.78","629.78","565.00","558.00"
"BLS International Services","321.95","4.45","1.40%","13,96,601.00","21.79","13,072.80","4.75%","2,273.80","6.82","319.48","343.01","317.50","317.50"
"Indegene","539.05","2.75","0.51%","1,53,790.00","28.89","12,878.70","-1.58%","2,946.50","11.30","546.09","558.10","534.05","536.30"
"Elecon Engineering Company","565.30","7.65","1.37%","2,30,709.00","24.20","12,513.70","1.46%","2,287.00","8.31","562.81","574.03","556.05","557.65"
"Banco Products","820.20","86.95","11.86%","1,29,62,780.00","24.23","10,488.20","13.66%","3,255.50","4.40","750.87","724.91","736.80","733.25"
"Le Travenues Technology (IXIGO)","260.95","3.45","1.34%","36,88,457.00","236.01","10,052.90","-19.06%","932.30","59.64","309.19","295.20","254.15","257.50"
"Tejas Networks","541.70","6.50","1.21%","17,24,868.00","-23.27","9,464.70","-0.40%","8,968.60","6.24","563.22","583.24","535.85","535.20"
"Mamaearth","280.90","1.75","0.63%","2,17,305.00","122.91","9,082.70","3.44%","2,145.70","15.50","281.26","290.83","281.00","279.15"
"Sudarshan Chemical Industries","1,160.70","12.10","1.05%","1,30,354.00","105.23","9,027.60","-1.49%","3,379.00","8.54","1,229.46","1,346.48","1,156.00","1,148.60"
"Lumax Auto Technologies","1,199.20","42.90","3.71%","3,65,691.00","32.59","7,881.10","3.91%","3,687.70","7.34","1,172.81","1,167.73","1,160.50","1,156.30"
"Garware Technical Fibres","760.95","1.75","0.23%","24,262.00","31.77","7,536.30","-1.94%","1,578.20","10.05","762.88","772.56","762.25","759.20"
"Keystone Realtors","566.75","1.30","0.23%","30,901.00","39.96","7,130.00","0.12%","2,121.40","3.07","585.26","602.77","573.00","565.45"
"Sharda Motor","1,084.40","37.90","3.62%","2,37,861.00","17.68","6,007.70","4.37%","2,919.90","2.46","1,052.65","1,058.86","1,045.00","1,046.50"
