"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Previous Pivot Point (Standard)","Previous Support 1 (Standard)","Upper Bollinger Bands","SMA (10)","SMA (20)","Open Price","Close Price","SMA (50)","EMA (10)","EMA (20)"
"Simplex Infrastructures","303.15","6.50","2.19%","4,09,651.00","86.33","2,346.40","11.80%","1,128.70","0.44","292.08","279.17","298.08","280.97","277.70","306.65","303.15","289.17","284.08","281.98"
"Divine Power Energy","305.70","5.95","1.98%","85,500.00","262.94","748.30","8.21%","342.20","0.00","299.73","299.72","300.06","281.64","274.72","305.70","299.75","229.40","285.90","272.95"
"Tejas Cargo","314.45","14.95","4.99%","5,600.00","37.39","715.60","4.99%","508.20","0.00","298.17","296.33","328.10","287.89","296.77","293.55","314.45","287.90","296.12","294.47"
"HP Telecom","315.50","14.05","4.66%","1,800.00","28.55","359.20","9.89%","1,597.70","0.00","293.97","286.48","318.29","296.95","298.30","301.45","315.50","237.99","297.46","286.93"
"Parag Milk Foods","320.25","5.00","1.59%","25,36,149.00","33.15","3,763.30","2.91%","3,472.50","9.91","317.72","310.53","334.22","312.88","297.79","312.05","320.25","279.13","311.32","301.88"
"Euro Pratik Sales","324.45","2.70","0.84%","6,44,859.00","46.83","3,288.30","1.10%","291.50","1.66","320.58","312.27","335.03","306.49","284.11","315.00","324.45","-","306.88","289.95"
"RBL Bank","325.60","1.75","0.54%","1,07,75,022.00","36.73","19,852.70","0.20%","17,819.50","15.48","325.07","320.73","342.74","323.41","311.87","327.00","325.60","286.53","321.83","312.43"
"EPack Prefab Technologies","326.35","24.90","8.26%","4,10,98,507.00","39.23","3,028.10","23.28%","1,140.50","3.00","296.22","287.43","320.67","274.01","235.75","299.20","326.35","-","274.55","242.01"
"Flair Writing Industries","330.00","15.80","5.03%","18,42,857.00","27.16","3,478.00","7.79%","1,104.50","0.44","315.55","307.45","323.89","308.75","310.64","316.95","330.00","314.94","312.71","311.52"
"Pramara Promotions","330.45","9.70","3.02%","1,19,500.00","49.12","371.10","3.46%","87.60","0.00","320.55","318.75","332.17","317.56","309.29","256.60","330.45","285.42","318.21","309.47"
"WomanCart","343.00","18.25","5.62%","92,800.00","28.49","204.80","20.35%","60.20","0.00","318.95","310.90","325.51","285.89","264.01","344.95","324.75","254.54","293.87","274.83"
"Oriental Aromatics","347.45","7.90","2.33%","16,067.00","47.98","1,142.70","-2.59%","931.50","0.03","344.62","331.93","369.15","354.85","346.29","335.00","347.45","339.99","350.43","347.55"
"Maxvolt Energy Industries","349.75","21.50","6.55%","99,200.00","35.37","357.90","6.73%","109.30","0.00","328.75","319.50","348.50","315.39","299.78","328.00","349.75","265.48","320.10","303.51"
