"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"Hero Motocorp","5,326.00","17.00","0.32%","8,15,323.00","21.04","1,06,216.00"
"RBL Bank","325.60","1.75","0.54%","1,07,75,022.00","36.73","19,852.70"
"Cupid","245.38","4.27","1.77%","29,67,536.00","136.36","6,473.00"
"Kennametal","2,162.05","65.00","3.10%","7,805.00","42.39","4,964.10"
"Bajaj Steel Industries","538.00","7.35","1.39%","14,921.00","19.50","1,103.80"
"Niyogin Fintech","63.74","2.46","4.01%","1,68,943.00","-81.71","681.70"
"Modi's Navnirman","347.50","15.80","4.76%","1,02,400.00","79.16","649.80"
"Kiran Vyapar","216.00","1.60","0.75%","1,699.00","13.19","585.00"
"Ludlow Jute & Specialities","393.45","8.55","2.22%","9,005.00","458.21","414.50"
"Taurian MPS","310.00","4.00","1.31%","36,800.00","28.62","271.80"
"Lakshmi Electrical Control Systems","861.00","8.60","1.01%","330.00","53.95","209.70"
"Bansal Roofing Products","123.65","13.45","12.21%","11,042.00","21.78","145.30"
"Constronics Infra","64.00","4.86","8.22%","30,794.00","17.65","74.10"
"Identixweb","66.95","1.69","2.59%","26,000.00","20.46","68.10"
"Indrayani Biotech","15.60","1.34","9.40%","4,81,546.00","-9.57","64.90"
"ISL Consulting","28.49","2.35","8.99%","6,347.00","-34.39","62.70"
"Simran Farms","172.45","7.45","4.52%","7,867.00","-30.28","62.50"
"Abril Paper Tech","42.88","2.57","6.38%","20,000.00","-","32.20"
"Bloom Industries","40.30","1.67","4.32%","720.00","61.32","25.60"
"CIL Securities","49.93","1.43","2.95%","517.00","12.44","24.30"
"Sri Nachammai Cotton Mills","34.27","2.25","7.03%","234.00","4.39","13.80"
