Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","L&T Finance Ltd","LTF","P&F | F.A","10.32","303.60","70587337"
"2","Rama Phosphates Ltd","RAMAPHO","P&F | F.A","9.52","207.16","1836663"
"3","Pennar Industries Limited","PENIND","P&F | F.A","6.87","275.95","3132030"
"4","Cupid Limited","CUPID","P&F | F.A","6.11","260.38","5318786"
"5","Arvind Limited","ARVIND","P&F | F.A","5.92","328.30","3334495"
"6","Rajratan Global Wire Ltd","RAJRATAN","P&F | F.A","5.90","479.05","904307"
"7","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","3.38","338.10","13494106"
"8","Dam Capital Advisors Ltd","DAMCAPITAL","P&F | F.A","3.35","263.22","22023708"
"9","Garuda Construction and Engineering Ltd","GARUDA","P&F | F.A","2.74","242.37","7202377"
"10","National Aluminium Company Limited","NATIONALUM","P&F | F.A","1.80","234.73","12249764"
"11","GRM Overseas Ltd","GRMOVER","P&F | F.A","0.72","446.20","1394312"
