Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","Arvind Limited","ARVIND","P&F | F.A","5.92","328.30","3334495"
"2","Vardhman Special Steels Limited","VSSL","P&F | F.A","3.84","296.20","109627"
"3","Sanathan Textiles Ltd","SANATHAN","P&F | F.A","2.36","492.80","55567"
"4","Kitex Garments Limited","KITEX","P&F | F.A","2.34","202.66","1089522"
"5","Sanghvi Movers Limited","SANGHVIMOV","P&F | F.A","2.24","378.55","711338"
"6","Northern ARC Capital Ltd","NORTHARC","P&F | F.A","2.19","268.90","742353"
"7","Vardhman Textiles Limited","VTL","P&F | F.A","2.11","438.30","115572"
"8","Hubtown Limited","HUBTOWN","P&F | F.A","2.11","322.35","651090"
"9","Campus Activewear Ltd","CAMPUS","P&F | F.A","2.03","276.80","226283"
"10","Greenpanel Industries Ltd","GREENPANEL","P&F | F.A","2.02","285.25","127117"
"11","Usha Martin Limited","USHAMART","P&F | F.A","1.82","472.45","420833"
"12","National Aluminium Company Limited","NATIONALUM","P&F | F.A","1.80","234.73","12249764"
"13","Marine Electricals (India) Ltd","MARINE","P&F | F.A","1.64","232.55","605195"
"14","Sms Pharmaceuticals Limited","SMSPHARMA","P&F | F.A","1.62","289.25","156162"
"15","Birlasoft Ltd","BSOFT","P&F | F.A","1.42","378.25","3553935"
"16","Housing and Urban Development Corporation","HUDCO","P&F | F.A","1.39","230.69","3027164"
"17","Go Digit General Insurance Ltd","GODIGIT","P&F | F.A","1.36","360.35","215006"
"18","Bharat Electronics Limited","BEL","P&F | F.A","1.33","414.25","10141248"
"19","Man Industries (india) Limited","MANINDS","P&F | F.A","1.23","383.85","165093"
"20","Hindware Home Innovation Ltd","HINDWAREAP","P&F | F.A","1.14","371.95","95308"
"21","Panacea Biotec Limited","PANACEABIO","P&F | F.A","1.12","414.60","53397"
"22","Religare Enterprises Limited","RELIGARE","P&F | F.A","1.12","258.30","1090920"
