Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","M & B Engineering Ltd","MBEL","P&F | F.A","14.94","502.75","8373413"
"2","Interarch Building Products Ltd","INTERARCH","P&F | F.A","14.87","2520.70","2539269"
"3","L&T Finance Ltd","LTF","P&F | F.A","10.32","303.60","70587337"
"4","Rama Phosphates Ltd","RAMAPHO","P&F | F.A","9.52","207.16","1836663"
"5","Pricol Ltd.","PRICOLLTD","P&F | F.A","9.39","566.40","14663962"
"6","BSE (Bombay stock exchange)","BSE","P&F | F.A","9.07","2678.30","20297200"
"7","Swan Corp Ltd","SWANCORP","P&F | F.A","7.63","468.90","15891193"
"8","Arvind Limited","ARVIND","P&F | F.A","5.92","328.30","3334495"
"9","Deep Industries Ltd","DEEPINDS","P&F | F.A","3.73","512.50","1049149"
"10","Dam Capital Advisors Ltd","DAMCAPITAL","P&F | F.A","3.35","263.22","22023708"
"11","Life Insurance Corporation of India","LICI","P&F | F.A","3.13","924.15","7699680"
"12","Prism Johnson Ltd","PRSMJOHNSN","P&F | F.A","1.03","141.96","2882990"
"13","Minda Corporation Limited","MINDACORP","P&F | F.A","1.02","579.20","7870298"
