"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Megasoft","210.16","-0.59","-0.28%","2,58,872.00","12.73","1,550.35","215.20","0.51"
"L&T Finance","303.60","28.40","10.32%","7,05,87,337.00","28.16","68,796.40","281.80","6.41"
"Arvind","328.30","18.35","5.92%","33,34,495.00","20.37","8,124.20","318.72","16.82"
"Pennar Industries","275.95","17.75","6.87%","31,32,030.00","29.83","3,484.30","268.20","6.74"
"Signpost India","242.39","15.59","6.87%","1,18,669.00","33.89","1,212.20","235.73","0.05"
"Cupid","260.38","15.00","6.11%","53,18,786.00","147.09","6,587.60","245.00","2.58"
"SG Finserv","389.85","14.90","3.97%","1,29,932.00","21.70","2,095.80","383.53","0.18"
"Ganesh Consumer Products","276.85","13.95","5.31%","6,86,373.00","33.82","1,062.50","276.19","8.17"
"Zuari Agro Chemicals","251.15","11.95","5.00%","2,37,132.00","0.98","1,006.00","248.89","2.85"
"Fabtech Technologies","243.88","11.75","5.06%","21,23,597.00","23.33","1,031.80","236.21","1.91"
"EFC","283.55","11.15","4.09%","4,20,115.00","16.44","2,711.80","288.21","3.84"
"Aditya Birla Capital","338.10","11.05","3.38%","1,34,94,106.00","26.41","85,439.70","331.01","6.78"
"Vardhman Special Steels","296.20","10.95","3.84%","1,09,627.00","30.71","2,752.80","291.31","0.55"
"Zaggle Prepaid Ocean Services","364.00","10.90","3.09%","6,82,461.00","50.19","4,740.50","364.93","8.64"
"Hindustan Copper","332.80","10.50","3.26%","64,09,393.00","66.21","31,167.20","333.90","5.06"
"Baazar Style Retail","332.85","9.95","3.08%","5,38,604.00","144.26","2,409.40","325.63","3.13"
"Apollo Pipes","302.40","9.45","3.23%","3,37,264.00","53.99","1,290.40","302.09","3.71"
"Laxmi Goldrona House","259.75","9.25","3.69%","61,100.00","111.96","1,254.80","259.35","0.00"
"NIIT Learning Systems","328.30","8.85","2.77%","2,30,551.00","21.78","4,378.70","322.99","17.43"
"DAM Capital Advisors","263.22","8.54","3.35%","2,20,23,708.00","16.59","1,800.20","252.43","1.76"
"All Time Plastics","305.75","8.45","2.84%","1,69,520.00","42.35","1,947.50","303.06","3.36"
"Sanghvi Movers","378.55","8.30","2.24%","7,11,338.00","19.81","3,205.50","388.78","1.71"
"Ivalue Infosolutions","294.30","7.90","2.76%","5,07,090.00","18.51","1,533.40","286.10","4.35"
