"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Resistance 2 (Standard)"
"NALCO","234.73","4.14","1.80%","1,22,49,764.00","7.04","42,350.90","235.91"
"Go Digit General Insurance","360.35","4.85","1.36%","2,15,006.00","65.48","32,823.70","363.83"
"Hindustan Copper","332.80","10.50","3.26%","64,09,393.00","66.21","31,167.20","338.70"
"Vikram Solar","321.30","6.50","2.06%","9,87,387.00","31.35","11,386.90","326.93"
"Birlasoft","378.25","5.30","1.42%","35,53,935.00","22.84","10,388.30","383.28"
"IIFL Capital Services","337.50","5.55","1.67%","5,41,280.00","14.80","10,299.10","342.28"
"Campus Activewear","276.80","5.50","2.03%","2,26,283.00","65.35","8,287.50","278.90"
"Cupid","260.38","15.00","6.11%","53,18,786.00","147.09","6,587.60","264.37"
"Surya Roshni","301.05","6.05","2.05%","3,05,606.00","22.78","6,420.30","305.07"
"Seshaasai Technologies","372.55","7.90","2.17%","99,598.00","27.15","5,900.20","378.42"
"VRL Logistics","273.10","4.10","1.52%","3,20,865.00","20.46","4,752.90","274.97"
"Zaggle Prepaid Ocean Services","364.00","10.90","3.09%","6,82,461.00","50.19","4,740.50","367.70"
"Gopal Snacks","361.85","6.40","1.80%","1,31,783.00","-1,641.82","4,429.70","366.48"
"NIIT Learning Systems","328.30","8.85","2.77%","2,30,551.00","21.78","4,378.70","336.25"
"Pennar Industries","275.95","17.75","6.87%","31,32,030.00","29.83","3,484.30","280.87"
"Greenpanel Industries","285.25","5.65","2.02%","1,27,117.00","24.43","3,428.70","290.63"
"Gufic BioSciences","334.05","5.90","1.80%","50,015.00","54.26","3,290.60","334.55"
"ADF Foods","232.49","7.66","3.41%","3,68,283.00","36.34","2,470.10","234.28"
"DAM Capital Advisors","263.22","8.54","3.35%","2,20,23,708.00","16.59","1,800.20","263.24"
"BLS E-Services","204.65","7.53","3.82%","23,14,615.00","29.24","1,791.00","205.62"
"Ivalue Infosolutions","294.30","7.90","2.76%","5,07,090.00","18.51","1,533.40","299.17"
"Diffusion Engineers","375.05","7.45","2.03%","69,266.00","34.20","1,375.80","382.13"
"Suraj Estate Developers","290.35","4.80","1.68%","1,84,519.00","14.93","1,364.20","294.38"
"Apollo Pipes","302.40","9.45","3.23%","3,37,264.00","53.99","1,290.40","311.65"
"Indef Manufacturing","371.60","8.45","2.33%","31,732.00","34.78","1,162.10","378.65"
