"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Supertrend (15 Min)","High Price (15 Min)","EMA (20, 15 Min)","Open Price","Stochastic RSI (14)","Previous Volume"
"Infosys","1,513.50","36.70","2.49%","97,87,975.00","21.80","6,13,520.60","1,482.08","30.08","1,510.37","1,515.00","1,512.40","1,490.10","47.74","87,65,759.00"
"ICICI Bank","1,348.00","5.00","0.37%","85,42,340.00","16.84","9,59,328.50","1,338.94","45.56","1,343.03","1,348.60","1,345.76","1,342.90","30.31","77,19,245.00"
"Bajaj Finance","1,085.00","18.40","1.73%","56,92,236.00","37.64","6,63,689.90","1,058.72","21.97","1,074.08","1,086.50","1,079.52","1,066.60","27.34","69,40,923.00"
"KPIT Technologies","1,192.90","39.90","3.46%","22,29,653.00","39.15","31,608.80","1,164.90","14.31","1,158.44","1,194.60","1,182.19","1,156.30","46.53","5,44,548.00"
"Bharat Dynamics","1,514.40","66.70","4.61%","19,89,123.00","94.56","53,067.30","1,483.58","2.43","1,501.52","1,518.00","1,506.39","1,450.00","33.04","9,84,121.00"
"Cholamandalam Investment","1,754.40","50.50","2.96%","16,47,003.00","30.90","1,43,366.00","1,721.22","26.85","1,732.63","1,756.60","1,742.71","1,716.80","27.79","23,53,603.00"
"IIFL Finance","541.90","15.60","2.96%","16,27,548.00","21.81","22,367.30","533.73","26.76","536.94","542.50","539.61","529.00","28.37","14,84,837.00"
"Bajaj Finserv","2,118.30","16.20","0.77%","9,85,115.00","18.00","3,35,876.30","2,087.68","8.11","2,101.62","2,126.80","2,112.37","2,114.70","22.57","8,39,091.00"
"JSW Steel","1,179.30","7.60","0.65%","7,40,226.00","47.17","2,86,533.80","1,179.24","25.55","1,172.57","1,182.30","1,179.11","1,174.00","22.34","8,45,047.00"
"Info Edge","1,342.40","-3.00","-0.22%","6,89,807.00","62.59","87,238.50","1,342.58","30.33","1,332.84","1,348.00","1,339.52","1,340.00","27.40","10,77,290.00"
