"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Close Price (15 Min)","Open Price","Previous Stochastic RSI (14, 15 Min)","RSI (14, 15 Min)","RSI (14)"
"J B Chemicals and Pharmaceuticals","1,813.30","110.40","6.48%","13,49,182.00","38.89","26,666.80","1,723.74","15.30","1,817.00","1,713.90","24.43","73.83","72.62"
"Bharat Dynamics","1,514.40","66.70","4.61%","19,89,123.00","94.56","53,067.30","1,483.58","2.43","1,512.50","1,450.00","5.77","66.86","49.84"
"KPIT Technologies","1,192.90","39.90","3.46%","22,29,653.00","39.15","31,608.80","1,164.90","14.31","1,188.10","1,156.30","38.54","57.70","54.44"
"Cholamandalam Investment","1,754.40","50.50","2.96%","16,47,003.00","30.90","1,43,366.00","1,721.22","26.85","1,754.90","1,716.80","58.37","66.80","62.87"
"Aurobindo Pharma","1,154.80","31.00","2.76%","13,84,229.00","19.24","65,270.50","1,145.38","14.21","1,153.50","1,126.10","75.90","63.78","61.48"
"Infosys","1,513.50","36.70","2.49%","97,87,975.00","21.80","6,13,520.60","1,482.08","30.08","1,515.00","1,490.10","9.47","60.95","56.39"
"Torrent Power","1,312.20","31.00","2.42%","5,40,136.00","23.03","64,560.10","1,303.14","8.81","1,315.80","1,282.00","39.48","72.00","53.59"
"IPCA Laboratories","1,344.80","26.50","2.01%","2,60,140.00","40.95","33,445.80","1,314.48","10.43","1,343.60","1,324.00","77.44","58.44","58.26"
"HCL Technologies","1,540.50","28.10","1.86%","15,58,896.00","24.17","4,10,414.70","1,530.38","16.64","1,540.00","1,518.00","20.73","61.52","59.61"
"Wockhardt","1,361.30","23.60","1.76%","3,91,812.00","-426.40","21,736.60","1,366.28","7.10","1,351.80","1,337.70","93.77","57.30","48.40"
"Bajaj Finance","1,085.00","18.40","1.73%","56,92,236.00","37.64","6,63,689.90","1,058.72","21.97","1,084.20","1,066.60","87.78","64.56","63.24"
"Cochin Shipyard","1,755.10","29.30","1.70%","10,57,367.00","54.02","45,402.50","1,747.86","3.22","1,752.00","1,729.80","1.40","46.09","44.74"
"Voltas","1,340.70","19.20","1.45%","10,57,635.00","68.30","43,726.40","1,335.94","20.26","1,340.50","1,320.00","0.00","47.17","41.13"
"Blue Star","1,771.60","18.90","1.08%","3,15,959.00","66.00","36,038.10","1,832.36","16.05","1,775.00","1,757.60","65.84","56.11","31.07"
"Glenmark Pharmaceuticals","1,829.90","18.40","1.02%","5,82,091.00","67.95","51,120.70","1,839.06","20.73","1,838.10","1,820.60","12.37","56.02","38.91"
"Gland Pharma","1,881.10","18.10","0.97%","46,074.00","38.79","30,694.10","1,905.30","7.91","1,885.00","1,867.90","6.72","62.04","41.55"
"Bharat Forge","1,328.40","11.30","0.86%","7,23,187.00","61.55","62,969.10","1,326.16","13.62","1,330.20","1,318.30","37.39","64.87","64.33"
"PB FinTech","1,798.50","14.70","0.82%","8,00,584.00","178.57","81,922.30","1,794.60","43.64","1,800.00","1,783.80","7.39","55.20","55.05"
"360 One WAM","1,074.60","8.60","0.81%","3,08,692.00","38.34","43,139.80","1,076.30","65.87","1,075.70","1,069.50","28.78","59.22","41.64"
"Tech Mahindra","1,397.80","11.10","0.80%","28,83,323.00","30.46","1,35,835.90","1,405.42","20.60","1,396.80","1,386.70","44.25","47.04","36.74"
"Havells","1,457.70","9.20","0.64%","9,44,575.00","62.22","90,850.90","1,466.44","19.28","1,456.00","1,452.00","29.98","46.73","39.57"
"Bharti Hexacom","1,771.10","9.30","0.53%","1,67,633.00","56.96","88,090.00","1,817.42","3.94","1,772.60","1,755.00","99.15","63.81","46.74"
"ICICI Bank","1,348.00","5.00","0.37%","85,42,340.00","16.84","9,59,328.50","1,338.94","45.56","1,346.80","1,342.90","79.84","57.18","43.16"
