"Name","Price","Day Price Change","Change %","Volume","PE Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Resistance 1 (Standard)","Industry PE Ratio"
"Infosys","1,513.50","36.70","2.49%","97,87,975.00","21.80","6,13,520.60","1,482.08","30.08","1,488.77","29.77"
"HCL Technologies","1,540.50","28.10","1.86%","15,58,896.00","24.17","4,10,414.70","1,530.38","16.64","1,523.97","29.77"
"Wipro","239.84","3.35","1.42%","85,66,758.00","18.29","2,47,928.70","238.96","10.81","238.49","29.77"
"Coal India","381.35","5.35","1.42%","44,51,727.00","7.46","2,31,718.60","379.32","7.96","378.00","20.01"
"Hindustan Zinc","484.60","10.10","2.13%","40,39,654.00","18.98","2,00,491.40","476.06","1.31","480.07","20.01"
"Hyundai Motor India","2,356.20","30.00","1.29%","5,49,214.00","33.11","1,89,013.30","2,371.66","7.35","2,337.13","42.53"
"Tata Motors Passenger Vehicles","410.45","4.75","1.17%","79,13,640.00","6.95","1,49,399.90","409.50","17.13","408.12","581.82"
"Indian Hotels Company","703.80","12.50","1.81%","29,38,488.00","53.45","98,401.90","716.49","26.14","702.50","303.47"
"UNO Minda","1,319.30","89.60","7.29%","29,23,214.00","60.31","70,819.70","1,259.88","9.97","1,259.40","76.74"
"Aurobindo Pharma","1,154.80","31.00","2.76%","13,84,229.00","19.24","65,270.50","1,145.38","14.21","1,138.40","44.29"
"Mphasis","2,776.20","40.20","1.47%","4,30,038.00","29.22","52,055.60","2,767.38","18.52","2,765.43","29.77"
"Dalmia Bharat","2,055.70","18.20","0.89%","1,02,563.00","33.60","38,216.40","2,054.70","8.76","2,053.43","56.53"
"Jubilant FoodWorks","584.35","7.85","1.36%","8,66,793.00","150.16","38,040.10","587.59","20.10","583.95","303.47"
"IPCA Laboratories","1,344.80","26.50","2.01%","2,60,140.00","40.95","33,445.80","1,314.48","10.43","1,342.83","44.29"
"Gujarat Gas","403.45","4.20","1.05%","9,69,917.00","24.02","27,773.10","404.27","3.70","402.60","29.62"
"J B Chemicals and Pharmaceuticals","1,813.30","110.40","6.48%","13,49,182.00","38.89","26,666.80","1,723.74","15.30","1,717.07","44.29"
"Emcure Pharmaceuticals","1,426.60","64.20","4.71%","8,41,345.00","33.53","25,818.60","1,359.74","3.29","1,380.20","44.29"
"Wockhardt","1,361.30","23.60","1.76%","3,91,812.00","-426.40","21,736.60","1,366.28","7.10","1,349.90","44.29"
"Sarda Energy & Minerals","542.70","7.85","1.47%","26,67,539.00","20.04","19,123.70","537.36","4.13","541.57","22.90"
"Gabriel","1,269.20","25.80","2.07%","2,36,232.00","71.40","17,860.70","1,257.72","6.49","1,258.03","76.74"
"Finolex Cables","793.55","27.00","3.52%","4,80,266.00","18.96","11,723.60","782.84","9.90","779.20","25.25"
"Eureka Forbes","556.40","21.35","3.99%","3,66,864.00","60.50","10,348.10","544.91","13.72","545.70","63.05"
"ASK Automotive","469.75","10.45","2.28%","3,94,060.00","33.60","9,054.80","470.82","10.35","468.08","76.74"
"PN Gadgil Jewellers","667.50","15.25","2.34%","3,46,322.00","35.15","8,851.60","658.26","0.91","662.07","40.36"
"Borosil Renewables","675.20","18.10","2.75%","8,68,654.00","-105.95","8,751.70","665.05","4.81","664.63","27.74"
"Lumax Auto Technologies","1,386.30","186.10","15.51%","26,17,712.00","33.82","8,180.30","1,219.42","7.34","1,234.73","76.74"
"Indian Metals & Ferro Alloys","1,322.50","125.50","10.48%","14,99,228.00","19.49","6,458.30","1,217.84","3.69","1,231.37","20.01"
"Pearl Global Industries","1,410.90","46.80","3.43%","1,73,080.00","26.72","6,271.30","1,338.38","6.50","1,397.40","46.61"
"LG Balakrishnan & Bros","1,869.20","39.40","2.15%","2,50,704.00","18.22","5,835.70","1,789.74","5.85","1,862.90","76.74"
"Indigo Paints","1,155.35","151.25","15.06%","45,81,620.00","33.14","4,787.10","1,029.88","11.80","1,011.93","42.52"
"Entero Healthcare Solutions","1,143.00","53.70","4.93%","2,92,757.00","40.57","4,739.40","1,094.82","14.67","1,114.37","48.34"
"NIIT Learning Systems","340.10","11.80","3.59%","3,68,858.00","21.78","4,500.00","326.01","17.43","333.60","37.24"
"Aarti Drugs","520.50","29.05","5.91%","13,77,910.00","23.91","4,485.50","501.58","2.69","501.07","60.34"
"Indiqube Spaces","218.80","14.94","7.33%","5,72,121.00","-30.61","4,281.30","211.04","2.67","207.44","29.62"
"Trualt Bioenergy","479.00","55.80","13.19%","39,01,906.00","24.67","3,629.00","434.83","1.30","433.77","29.62"
"Steel Strips Wheels","221.54","2.74","1.25%","1,17,908.00","17.08","3,439.10","223.51","8.73","221.13","76.74"
"HPL Electric & Power","457.05","35.95","8.54%","8,79,356.00","28.44","2,707.70","435.92","0.34","428.80","32.92"
"La Opala RG","229.58","2.91","1.28%","1,04,018.00","25.54","2,516.00","230.03","0.83","229.20","27.74"
"Windsor Machines","299.15","9.25","3.19%","1,67,469.00","-260.27","2,449.00","293.78","1.06","296.40","-40.95"
"Krsnaa Diagnostics","779.45","55.15","7.61%","25,12,397.00","29.22","2,349.50","764.00","3.67","752.72","32.11"
"Kernex Microsystems","1,341.20","64.30","5.04%","3,77,018.00","39.71","2,140.00","1,288.36","0.54","1,299.00","42.35"
"Sula Vineyards","251.85","2.30","0.92%","2,33,259.00","36.64","2,107.00","251.95","4.05","251.03","48.11"
"Dynamic Cables","380.10","14.30","3.91%","2,59,947.00","22.99","1,772.60","384.24","0.56","376.27","25.25"
"Nitin Spinners","324.65","19.30","6.32%","1,60,104.00","10.29","1,716.70","318.03","0.90","311.37","24.74"
"Godavari Biorefineries","267.95","15.90","6.31%","5,43,664.00","-96.81","1,289.90","263.21","0.60","256.38","20.52"
"Tembo Global Industries","764.90","69.10","9.93%","5,40,122.00","15.52","1,076.20","673.70","0.00","719.40","48.34"
"Zuari Agro Chemicals","263.70","12.55","5.00%","1,17,064.00","0.98","1,056.30","250.47","2.85","253.52","32.16"
"Elin Electronics","205.53","9.43","4.81%","12,48,665.00","29.73","973.80","205.02","0.78","203.32","42.35"
"Patel Retail","227.56","12.12","5.63%","3,03,792.00","28.47","719.60","220.09","3.84","218.72","48.34"
"Borana Weaves","238.49","5.95","2.56%","1,34,227.00","14.69","619.60","232.27","2.58","234.28","60.98"
