"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","RSI (14)","Previous RSI (14)","EMA (10)","EMA (20)","Commodity Channel Index (14)","SMA (20)"
"Anand Rathi Share & Stock Brokers","600.75","27.80","4.85%","26,93,403.00","39.61","3,593.80","17.09%","847.00","2.83","82.57","79.07","540.50","512.76","256.34","510.40"
"Arunis Abode","105.85","4.52","4.46%","35,19,211.00","98.38","516.80","19.60%","0.50","0.00","80.89","77.74","94.62","90.35","212.67","90.92"
"CCL Products","1,068.45","43.30","4.22%","23,14,009.00","40.43","13,688.60","21.81%","3,114.20","10.53","85.05","82.20","937.36","901.59","213.24","874.57"
"Dynamatic Technologies","9,061.00","535.00","6.27%","1,18,846.00","136.38","5,790.40","12.55%","1,426.60","12.23","76.05","69.50","8,288.87","8,004.19","213.96","8,029.05"
"HBL Engineering","1,098.80","119.60","12.21%","2,70,33,472.00","79.88","27,142.90","11.17%","1,993.30","7.10","75.19","60.75","999.28","966.43","231.84","963.29"
"Indian Metals & Ferro Alloys","1,322.50","125.50","10.48%","14,99,228.00","19.49","6,458.30","9.29%","2,631.10","3.69","66.32","56.62","1,197.71","1,169.94","193.55","1,165.84"
"Inspirisys Solutions","106.04","7.29","7.38%","1,42,653.00","10.31","391.20","16.08%","397.60","0.00","72.12","63.61","94.47","93.17","366.06","91.53"
"J B Chemicals and Pharmaceuticals","1,813.30","110.40","6.48%","13,49,182.00","38.89","26,666.80","5.90%","3,956.30","15.30","72.62","53.18","1,717.89","1,704.85","431.16","1,695.47"
"Lehar Footwears","279.40","33.60","13.67%","2,99,679.00","27.59","434.50","16.27%","277.50","0.00","73.26","51.36","247.61","246.06","408.65","242.45"
"Lumax Auto Technologies","1,386.30","186.10","15.51%","26,17,712.00","33.82","8,180.30","19.89%","3,687.70","7.34","70.61","54.15","1,208.28","1,192.54","396.87","1,175.72"
"Modern Insulators","172.75","8.20","4.98%","1,84,508.00","15.58","775.80","14.25%","516.80","0.33","76.50","73.20","154.72","145.01","196.96","141.80"
"NALCO","257.36","22.63","9.64%","7,26,63,239.00","7.04","43,111.30","7.84%","17,144.60","16.22","74.62","59.65","237.95","232.71","255.00","232.48"
"Subam Papers","158.65","7.55","5.00%","1,90,400.00","13.14","351.20","6.69%","546.20","1.32","65.63","58.02","150.55","148.36","281.32","147.85"
"Swaraj Suiting","242.75","28.85","13.49%","1,69,000.00","14.06","471.00","24.39%","418.40","0.00","82.70","73.23","207.40","197.32","322.12","194.17"
"Systango Technologies","297.50","24.65","9.03%","3,71,200.00","16.86","400.20","23.96%","74.00","0.00","85.08","78.89","256.10","245.94","276.78","240.57"
"Tembo Global Industries","764.90","69.10","9.93%","5,40,122.00","15.52","1,076.20","18.75%","743.25","0.00","78.98","71.49","660.72","633.41","307.87","617.10"
"Torrent Pharmaceuticals","3,817.50","237.50","6.63%","16,51,416.00","60.51","1,21,163.50","5.21%","11,539.40","15.92","70.23","50.54","3,623.34","3,600.15","401.07","3,583.48"
"Tribhovandas Bhimji Zaveri","195.67","9.41","5.05%","21,64,483.00","16.79","1,242.90","7.66%","2,624.80","0.00","68.89","54.44","186.00","185.17","294.62","184.43"
"V Marc","744.20","119.75","19.18%","3,45,750.00","42.25","1,525.00","27.85%","906.20","0.00","80.36","68.41","615.86","582.83","312.28","590.52"
"Voltamp Transformers","7,953.00","795.00","11.11%","4,58,276.00","22.28","7,241.80","6.54%","2,018.90","22.85","67.01","45.36","7,374.23","7,311.18","227.25","7,243.00"
